server_id,hostname,env,os_name,os_version,os_eol_date,vcpu,ram_gb,provisioned_disk_gb,used_disk_gb,cpu_avg_pct,cpu_peak_pct,ram_avg_pct,disk_iops_avg,disk_iops_peak,net_in_gb_30d,net_out_gb_30d,cluster,datacenter,powerstate,app_id,notes
srv-0013,appp0013,prod,SUSE Linux Enterprise Server,15 SP4,2031-12-31,8,64,1024,741.6,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-02,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0014,dbp0014,prod,Red Hat Enterprise Linux,7.9,2024-06-30,64,256,1024,710.2,25.9,92.8,83.5,13834.3,76902.2,95.6,68.0,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-02,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0015,dbp0015,prod,Red Hat Enterprise Linux,8.8,2029-05-31,8,64,512,353.6,,,,,,,,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-02,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0016,webp0016,prod,Windows Server,2012 R2,2023-10-10,2,16,128,89.5,23.7,61.0,56.7,23.2,85.9,45.2,297.9,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-03,VMware vSphere 7.0 VM; OS past end-of-support - remediation or ESU required
srv-0017,webp0017,prod,Windows Server,2012 R2,2023-10-10,4,16,80,53.6,6.0,26.6,48.0,89.0,758.4,50.3,351.0,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-03,VMware vSphere 7.0 VM; OS past end-of-support - remediation or ESU required
srv-0018,appp0018,prod,Windows Server,2016,2027-01-12,4,16,256,140.4,5.3,21.1,80.9,190.1,1218.1,109.5,99.7,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-03,VMware vSphere 7.0 VM
srv-0019,appp0019,prod,Windows Server,2022,2031-10-14,16,128,200,75.3,10.1,39.6,30.2,660.0,3865.9,166.6,93.7,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-03,VMware vSphere 7.0 VM
srv-0020,appp0020,prod,Windows Server,2016,2027-01-12,4,16,1024,679.8,9.0,31.0,30.1,152.5,932.0,78.7,69.3,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-03,VMware vSphere 7.0 VM
srv-0021,dbp0021,prod,Windows Server,2019,2029-01-09,8,64,1024,320.5,33.7,65.3,30.9,1312.8,5393.3,89.0,57.3,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-03,VMware vSphere 7.0 VM
srv-0022,dbp0022,prod,Windows Server,2012 R2,2023-10-10,8,64,512,267.9,22.4,56.2,39.7,1150.1,3821.4,60.3,56.7,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-03,VMware vSphere 7.0 VM; OS past end-of-support - remediation or ESU required
srv-0023,appp0023,prod,Red Hat Enterprise Linux,8.8,2029-05-31,4,16,100,28.5,23.5,74.0,60.9,178.2,870.6,97.4,101.6,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-04,VMware vSphere 7.0 VM
srv-0024,appp0024,prod,Ubuntu,22.04 LTS,2027-04-30,4,16,128,68.4,13.6,55.3,78.0,101.1,556.2,137.3,76.1,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-04,VMware vSphere 7.0 VM
srv-0025,appp0025,prod,Ubuntu,20.04 LTS,2025-04-30,16,128,128,55.5,29.0,99,44.5,522.0,3672.4,118.6,73.9,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-04,VMware vSphere 7.0 VM
srv-0026,appp0026,prod,Red Hat Enterprise Linux,7.9,2024-06-30,4,32,256,206.1,6.3,20.4,44.4,171.6,833.6,94.0,70.4,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-04,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0027,dbp0027,prod,Ubuntu,18.04 LTS,2023-05-31,8,64,512,176.6,27.1,75.2,28.8,1141.5,4359.1,80.7,40.9,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-04,VMware vSphere 7.0 VM
srv-0028,dbp0028,prod,Red Hat Enterprise Linux,8.8,2029-05-31,32,128,2048,823.0,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-04,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0029,webp0029,prod,Ubuntu,22.04 LTS,2027-04-30,32,128,128,101.3,,,,,,,,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-05,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0030,webp0030,prod,Ubuntu,20.04 LTS,2025-04-30,4,16,100,50.2,,,,,,,,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-05,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0031,webp0031,prod,Ubuntu,20.04 LTS,2025-04-30,8,64,200,81.9,17.5,38.9,31.1,105.7,516.1,100.8,775.1,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-05,VMware vSphere 7.0 VM
srv-0032,appp0032,prod,Ubuntu,18.04 LTS,2023-05-31,16,128,100,78.9,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-05,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0033,appp0033,prod,Red Hat Enterprise Linux,7.9,2024-06-30,8,32,400,213.2,6.9,15.1,38.7,199.7,617.1,188.6,354.6,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-05,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0034,appp0034,prod,Red Hat Enterprise Linux,7.9,2024-06-30,4,16,100,83.0,25.2,95.4,34.5,196.3,1136.4,194.2,318.1,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-05,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0035,dbp0035,prod,Red Hat Enterprise Linux,8.8,2029-05-31,16,64,1024,400.7,15.9,46.4,37.4,2797.6,11850.2,95.0,256.0,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-05,VMware vSphere 7.0 VM
srv-0036,dbp0036,prod,Red Hat Enterprise Linux,9.3,2032-05-31,4,32,2048,1125.8,10.3,32.9,83.8,782.8,5415.3,136.7,164.6,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-05,VMware vSphere 7.0 VM
srv-0037,webp0037,prod,Windows Server,2016,2027-01-12,2,8,200,134.0,,,,,,,,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-06,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0038,webp0038,prod,Windows Server,2012 R2,2023-10-10,4,16,2048,804.4,21.6,99,68.6,60.2,328.8,48.3,329.1,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-06,VMware vSphere 7.0 VM; OS past end-of-support - remediation or ESU required
srv-0039,appp0039,prod,Windows Server,2019,2029-01-09,2,8,200,162.4,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-06,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0040,appp0040,prod,Windows Server,2019,2029-01-09,16,128,800,508.3,20.9,79.0,61.3,556.2,3343.1,147.6,108.9,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-06,VMware vSphere 7.0 VM
srv-0041,appp0041,prod,Windows Server,2022,2031-10-14,8,64,256,185.4,25.8,51.1,31.4,332.4,1056.3,126.6,67.0,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-06,VMware vSphere 7.0 VM
srv-0042,dbp0042,prod,Windows Server,2016,2027-01-12,4,16,4096,2795.5,4.9,15.5,61.1,664.9,3548.4,61.5,48.8,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-06,VMware vSphere 7.0 VM
srv-0043,dbp0043,prod,Windows Server,2019,2029-01-09,32,128,4096,2280.0,13.7,46.1,83.3,4553.2,30997.0,94.5,52.8,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-06,VMware vSphere 7.0 VM
srv-0044,appp0044,prod,Red Hat Enterprise Linux,7.9,2024-06-30,4,16,512,358.4,37.2,99,60.7,204.3,994.9,140.7,112.0,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-07,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0045,appp0045,prod,Red Hat Enterprise Linux,9.3,2032-05-31,2,8,800,308.3,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-07,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0046,appp0046,prod,Red Hat Enterprise Linux,8.8,2029-05-31,4,16,512,218.3,,,,,,,,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-07,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0047,appp0047,prod,Red Hat Enterprise Linux,7.9,2024-06-30,8,32,80,57.4,9.7,35.6,36.1,284.6,1617.0,149.8,95.7,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-07,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0048,appp0048,prod,Red Hat Enterprise Linux,7.9,2024-06-30,8,32,400,150.9,34.4,47.2,74.2,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOff,app-07,VMware vSphere 7.0 VM; RHEL 7 past maintenance support; powered off at discovery - confirm if decommissioned
srv-0049,dbp0049,prod,Red Hat Enterprise Linux,9.3,2032-05-31,8,32,512,319.2,11.7,27.4,45.8,1604.3,6898.8,68.9,54.0,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-07,VMware vSphere 7.0 VM
srv-0050,dbp0050,prod,Ubuntu,20.04 LTS,2025-04-30,8,32,2048,655.3,3.0,7.1,57.8,1267.3,4588.0,88.3,65.0,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-07,VMware vSphere 7.0 VM
srv-0051,dbp0051,prod,Ubuntu,18.04 LTS,2023-05-31,8,32,2048,1305.0,31.5,86.7,79.1,973.9,3424.5,81.9,50.0,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-07,VMware vSphere 7.0 VM
srv-0052,appp0052,prod,Windows Server,2019,2029-01-09,2,16,800,488.4,14.9,57.0,47.2,64.9,311.0,109.2,96.4,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-08,VMware vSphere 7.0 VM
srv-0053,appp0053,prod,Windows Server,2019,2029-01-09,4,32,1024,849.8,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-08,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0054,appp0054,prod,Windows Server,2019,2029-01-09,8,32,800,432.0,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-08,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0055,dbp0055,prod,Windows Server,2019,2029-01-09,8,64,2048,1078.9,15.1,47.2,43.8,881.5,2698.7,66.4,67.6,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-08,VMware vSphere 7.0 VM
srv-0056,dbp0056,prod,Windows Server,2019,2029-01-09,4,32,2048,1434.1,21.3,41.0,32.8,781.3,3269.1,82.2,45.3,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-08,VMware vSphere 7.0 VM
srv-0057,appp0057,prod,Red Hat Enterprise Linux,7.9,2024-06-30,2,8,80,48.1,7.2,19.4,57.7,84.8,446.6,114.8,103.8,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-09,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0058,appp0058,prod,Red Hat Enterprise Linux,8.8,2029-05-31,2,16,80,34.1,6.9,15.7,57.8,71.2,298.6,77.3,97.7,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-09,VMware vSphere 7.0 VM
srv-0059,appp0059,prod,Red Hat Enterprise Linux,7.9,2024-06-30,2,8,200,69.7,24.8,99,40.9,55.0,371.8,79.8,121.4,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-09,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0060,appp0060,prod,Ubuntu,22.04 LTS,2027-04-30,4,16,2048,645.0,5.8,19.7,66.1,96.1,419.6,91.8,90.9,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-09,VMware vSphere 7.0 VM
srv-0061,dbp0061,prod,Red Hat Enterprise Linux,7.9,2024-06-30,4,32,4096,2784.6,3.9,11.5,44.6,700.4,3478.4,67.7,44.2,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-09,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0062,dbp0062,prod,Ubuntu,18.04 LTS,2023-05-31,8,32,1024,671.4,32.0,96.6,37.1,1114.8,3971.7,78.9,50.1,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-09,VMware vSphere 7.0 VM
srv-0063,webp0063,prod,Windows Server,2012 R2,2023-10-10,16,128,1024,607.4,24.4,99,73.2,230.6,1318.0,82.9,437.5,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-10,VMware vSphere 7.0 VM; OS past end-of-support - remediation or ESU required
srv-0064,webp0064,prod,Windows Server,2012 R2,2023-10-10,32,256,256,157.2,9.2,33.1,54.8,378.4,1765.9,85.5,508.0,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-10,VMware vSphere 7.0 VM; OS past end-of-support - remediation or ESU required
srv-0065,appp0065,prod,Windows Server,2016,2027-01-12,4,32,512,242.3,34.0,99,70.6,122.3,789.9,92.1,151.6,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-10,VMware vSphere 7.0 VM
srv-0066,appp0066,prod,Windows Server,2019,2029-01-09,2,8,256,119.7,17.4,62.3,89.3,91.2,563.3,161.6,161.0,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-10,VMware vSphere 7.0 VM
srv-0067,dbp0067,prod,Windows Server,2016,2027-01-12,16,64,4096,2952.4,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-10,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0068,appp0068,prod,Windows Server,2022,2031-10-14,32,128,2048,1522.9,14.2,45.4,52.6,1492.1,5682.0,81.3,113.9,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-11,VMware vSphere 7.0 VM
srv-0069,appp0069,prod,Windows Server,2016,2027-01-12,4,32,256,147.2,,,,,,,,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-11,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0070,dbp0070,prod,Windows Server,2016,2027-01-12,4,32,2048,1599.8,,,,,,,,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-11,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0071,dbp0071,prod,Windows Server,2016,2027-01-12,16,128,2048,1568.2,26.4,86.3,54.9,2251.7,8523.0,69.5,62.1,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-11,VMware vSphere 7.0 VM
srv-0072,webp0072,prod,Red Hat Enterprise Linux,8.8,2029-05-31,4,32,200,155.3,14.5,62.4,84.8,85.5,663.3,207.9,1856.4,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-12,VMware vSphere 7.0 VM
srv-0073,webp0073,prod,Ubuntu,20.04 LTS,2025-04-30,4,32,80,28.3,14.3,64.3,80.5,98.5,625.7,244.8,2848.3,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-12,VMware vSphere 7.0 VM
srv-0074,webp0074,prod,Red Hat Enterprise Linux,7.9,2024-06-30,2,8,256,121.9,27.1,99,81.1,25.3,166.4,195.6,2680.1,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-12,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0075,dbp0075,prod,SUSE Linux Enterprise Server,15 SP4,2031-12-31,32,128,512,213.1,15.1,32.7,30.4,,,,,DAL-PRD-CL01,DC-DALLAS,poweredOff,app-12,VMware vSphere 7.0 VM; powered off at discovery - confirm if decommissioned
srv-0076,appp0076,prod,Red Hat Enterprise Linux,7.9,2024-06-30,2,8,80,36.0,8.0,17.0,62.7,98.1,356.1,127.5,130.1,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-13,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0077,appp0077,prod,Red Hat Enterprise Linux,7.9,2024-06-30,8,32,200,113.7,10.7,40.1,55.7,265.5,1918.6,108.6,142.6,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-13,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0078,appp0078,prod,Ubuntu,22.04 LTS,2027-04-30,2,8,400,341.1,,,,,,,,DAL-PRD-CL01,DC-DALLAS,poweredOff,app-13,VMware vSphere 7.0 VM; powered off at discovery - confirm if decommissioned; no performance history from vCenter (< 30 days)
srv-0079,appp0079,prod,Windows Server,2016,2027-01-12,16,64,100,41.8,27.1,76.8,42.7,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOff,app-14,VMware vSphere 7.0 VM; powered off at discovery - confirm if decommissioned
srv-0080,appp0080,prod,Windows Server,2016,2027-01-12,16,64,800,610.4,30.6,99,77.5,538.8,3665.0,141.5,171.3,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-14,VMware vSphere 7.0 VM
srv-0081,appp0081,prod,Windows Server,2019,2029-01-09,8,32,80,36.7,23.5,86.3,32.2,322.2,2024.3,147.9,153.8,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-14,VMware vSphere 7.0 VM
srv-0082,appp0082,prod,Red Hat Enterprise Linux,7.9,2024-06-30,4,32,256,195.0,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-15,VMware vSphere 7.0 VM; RHEL 7 past maintenance support; no performance history from vCenter (< 30 days)
srv-0083,appp0083,prod,SUSE Linux Enterprise Server,15 SP4,2031-12-31,8,64,800,670.8,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOff,app-15,VMware vSphere 7.0 VM; powered off at discovery - confirm if decommissioned; no performance history from vCenter (< 30 days)
srv-0084,webn0084,nonprod,Windows Server,2019,2029-01-09,2,8,1024,360.1,30.1,99,50.8,31.6,148.9,46.6,248.7,ASH-NPD-CL01,DC-ASHBURN,poweredOn,app-16,VMware vSphere 7.0 VM
srv-0085,webn0085,nonprod,Windows Server,2012 R2,2023-10-10,8,32,1024,481.5,25.9,54.0,56.1,107.5,410.0,67.1,312.7,ASH-NPD-CL01,DC-ASHBURN,poweredOn,app-16,VMware vSphere 7.0 VM; OS past end-of-support - remediation or ESU required
srv-0086,appn0086,nonprod,Windows Server,2016,2027-01-12,4,16,800,277.9,,,,,,,,ASH-NPD-CL01,DC-ASHBURN,poweredOn,app-16,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0087,appn0087,nonprod,Windows Server,2016,2027-01-12,4,32,128,101.6,33.5,71.5,86.5,114.1,416.0,86.6,76.9,DAL-NPD-CL01,DC-DALLAS,poweredOn,app-16,VMware vSphere 7.0 VM
srv-0088,dbn0088,nonprod,Windows Server,2016,2027-01-12,32,128,2048,1220.2,15.8,52.1,38.8,5984.3,34834.7,80.1,74.2,ASH-NPD-CL01,DC-ASHBURN,poweredOn,app-16,VMware vSphere 7.0 VM
srv-0089,dbn0089,nonprod,Windows Server,2012 R2,2023-10-10,4,16,1024,874.0,9.7,26.7,61.7,539.5,2558.2,69.8,69.9,ASH-NPD-CL01,DC-ASHBURN,poweredOn,app-16,VMware vSphere 7.0 VM; OS past end-of-support - remediation or ESU required
srv-0090,webp0090,prod,Ubuntu,20.04 LTS,2025-04-30,4,16,128,109.2,31.2,99,81.5,61.6,389.2,59.5,235.4,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-17,VMware vSphere 7.0 VM
srv-0091,webp0091,prod,Ubuntu,20.04 LTS,2025-04-30,2,8,256,79.5,21.3,99,56.9,29.0,267.3,70.0,311.7,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-17,VMware vSphere 7.0 VM
srv-0092,appp0092,prod,Red Hat Enterprise Linux,9.3,2032-05-31,16,128,80,56.1,26.4,93.6,67.5,712.3,4267.7,102.6,86.9,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-17,VMware vSphere 7.0 VM
srv-0093,appp0093,prod,Ubuntu,22.04 LTS,2027-04-30,4,32,800,258.1,,,,,,,,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-17,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0094,appp0094,prod,Red Hat Enterprise Linux,7.9,2024-06-30,4,16,2048,1203.7,25.3,99,71.3,158.2,964.0,155.0,109.3,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-17,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0095,appp0095,prod,Ubuntu,22.04 LTS,2027-04-30,4,16,200,104.0,16.9,69.8,46.5,110.5,573.1,101.8,94.7,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-17,VMware vSphere 7.0 VM
srv-0096,dbp0096,prod,Red Hat Enterprise Linux,8.8,2029-05-31,4,16,512,271.6,18.7,32.2,28.6,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOff,app-17,VMware vSphere 7.0 VM; powered off at discovery - confirm if decommissioned
srv-0097,dbp0097,prod,Ubuntu,18.04 LTS,2023-05-31,32,128,2048,1286.6,23.3,61.2,68.3,6769.9,29701.1,66.6,38.6,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-17,VMware vSphere 7.0 VM
srv-0098,appn0098,nonprod,Red Hat Enterprise Linux,8.8,2029-05-31,8,64,1024,865.5,23.9,64.7,28.1,336.4,1418.0,92.6,151.8,DAL-NPD-CL01,DC-DALLAS,poweredOn,app-18,VMware vSphere 7.0 VM
srv-0099,appn0099,nonprod,Red Hat Enterprise Linux,8.8,2029-05-31,16,128,400,113.4,24.0,82.5,35.6,459.3,3297.9,144.8,176.1,ASH-NPD-CL01,DC-ASHBURN,poweredOn,app-18,VMware vSphere 7.0 VM
srv-0100,appn0100,nonprod,Red Hat Enterprise Linux,7.9,2024-06-30,4,16,400,148.5,14.4,50.2,64.5,149.7,896.7,154.0,153.0,DAL-NPD-CL01,DC-DALLAS,poweredOn,app-18,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0101,dbn0101,nonprod,Red Hat Enterprise Linux,7.9,2024-06-30,8,32,4096,2589.1,10.2,29.2,48.4,1880.1,10009.1,72.2,92.9,DAL-NPD-CL01,DC-DALLAS,poweredOn,app-18,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0102,appp0102,prod,Red Hat Enterprise Linux,8.8,2029-05-31,2,16,200,145.0,13.4,30.4,58.3,55.2,212.7,107.3,112.6,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-19,VMware vSphere 7.0 VM
srv-0103,appp0103,prod,Red Hat Enterprise Linux,8.8,2029-05-31,2,8,80,42.6,5.5,19.1,53.9,105.0,777.8,121.7,88.0,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-19,VMware vSphere 7.0 VM
srv-0104,appp0104,prod,Red Hat Enterprise Linux,8.8,2029-05-31,32,128,128,95.3,33.8,99,32.1,1072.6,5627.7,134.5,90.7,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-19,VMware vSphere 7.0 VM
srv-0105,dbp0105,prod,Red Hat Enterprise Linux,8.8,2029-05-31,8,32,2048,836.6,5.4,15.0,60.3,1842.0,8382.2,81.7,62.1,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-19,VMware vSphere 7.0 VM
srv-0106,appp0106,prod,Ubuntu,20.04 LTS,2025-04-30,2,16,128,54.8,,,,,,,,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-20,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0107,appp0107,prod,Red Hat Enterprise Linux,7.9,2024-06-30,4,32,2048,1476.1,37.2,99,67.1,95.8,607.8,126.0,127.7,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-20,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0108,appp0108,prod,Red Hat Enterprise Linux,8.8,2029-05-31,4,16,256,189.9,15.1,45.2,55.7,195.0,922.1,118.1,111.3,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-20,VMware vSphere 7.0 VM
srv-0109,appp0109,prod,Ubuntu,20.04 LTS,2025-04-30,8,32,1024,515.1,37.7,99,29.2,277.6,1850.1,99.9,115.7,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-20,VMware vSphere 7.0 VM
