src_id,dst_id,port,protocol,direction,confidence
srv-0005,srv-0182,53,DNS,outbound,low
srv-0006,srv-0182,53,DNS,outbound,low
srv-0007,srv-0151,389,LDAP,outbound,medium
srv-0007,srv-0182,53,DNS,outbound,low
srv-0009,srv-0154,88,LDAP,outbound,medium
srv-0009,srv-0183,53,DNS,outbound,low
srv-0010,srv-0151,389,LDAP,outbound,medium
srv-0010,srv-0182,53,DNS,outbound,low
srv-0011,srv-0149,88,LDAP,outbound,medium
srv-0011,srv-0183,53,DNS,outbound,low
srv-0012,srv-0152,389,LDAP,outbound,medium
srv-0013,srv-0152,636,LDAP,outbound,medium
srv-0013,srv-0182,53,DNS,outbound,low
srv-0014,srv-0153,88,LDAP,outbound,medium
srv-0014,srv-0182,53,DNS,outbound,low
srv-0015,srv-0149,389,LDAP,outbound,medium
srv-0015,srv-0183,53,DNS,outbound,low
srv-0016,srv-0149,389,LDAP,outbound,medium
srv-0016,srv-0183,53,DNS,outbound,low
srv-0017,srv-0149,88,LDAP,outbound,medium
srv-0018,srv-0183,53,DNS,outbound,low
srv-0019,srv-0152,88,LDAP,outbound,medium
srv-0019,srv-0183,53,DNS,outbound,low
srv-0020,srv-0149,636,LDAP,outbound,medium
srv-0020,srv-0182,53,DNS,outbound,low
srv-0021,srv-0153,88,LDAP,outbound,medium
srv-0022,srv-0154,636,LDAP,outbound,medium
srv-0022,srv-0182,53,DNS,outbound,low
srv-0023,srv-0153,88,LDAP,outbound,medium
srv-0024,srv-0151,389,LDAP,outbound,medium
srv-0024,srv-0183,53,DNS,outbound,low
srv-0025,srv-0154,88,LDAP,outbound,medium
srv-0025,srv-0182,53,DNS,outbound,low
srv-0026,srv-0150,88,LDAP,outbound,medium
srv-0026,srv-0182,53,DNS,outbound,low
srv-0027,srv-0149,636,LDAP,outbound,medium
srv-0027,srv-0183,53,DNS,outbound,low
srv-0028,srv-0154,636,LDAP,outbound,medium
srv-0028,srv-0183,53,DNS,outbound,low
srv-0029,srv-0152,636,LDAP,outbound,medium
srv-0029,srv-0182,53,DNS,outbound,low
srv-0030,srv-0152,636,LDAP,outbound,medium
srv-0030,srv-0183,53,DNS,outbound,low
srv-0031,srv-0150,88,LDAP,outbound,medium
srv-0031,srv-0182,53,DNS,outbound,low
srv-0032,srv-0153,636,LDAP,outbound,medium
srv-0033,srv-0153,389,LDAP,outbound,medium
srv-0034,srv-0152,88,LDAP,outbound,medium
srv-0034,srv-0183,53,DNS,outbound,low
srv-0035,srv-0150,636,LDAP,outbound,medium
srv-0035,srv-0183,53,DNS,outbound,low
srv-0036,srv-0182,53,DNS,outbound,low
srv-0037,srv-0152,389,LDAP,outbound,medium
srv-0038,srv-0150,389,LDAP,outbound,medium
srv-0038,srv-0183,53,DNS,outbound,low
srv-0039,srv-0154,636,LDAP,outbound,medium
srv-0039,srv-0182,53,DNS,outbound,low
srv-0040,srv-0151,636,LDAP,outbound,medium
srv-0041,srv-0183,53,DNS,outbound,low
srv-0042,srv-0153,636,LDAP,outbound,medium
srv-0043,srv-0149,88,LDAP,outbound,medium
srv-0043,srv-0183,53,DNS,outbound,low
srv-0044,srv-0150,389,LDAP,outbound,medium
srv-0044,srv-0182,53,DNS,outbound,low
srv-0045,srv-0182,53,DNS,outbound,low
srv-0046,srv-0153,636,LDAP,outbound,medium
srv-0047,srv-0154,636,LDAP,outbound,medium
srv-0047,srv-0183,53,DNS,outbound,low
srv-0049,srv-0151,636,LDAP,outbound,medium
srv-0049,srv-0183,53,DNS,outbound,low
srv-0050,srv-0151,88,LDAP,outbound,medium
srv-0050,srv-0183,53,DNS,outbound,low
srv-0052,srv-0151,636,LDAP,outbound,medium
srv-0052,srv-0183,53,DNS,outbound,low
srv-0053,srv-0154,389,LDAP,outbound,medium
srv-0054,srv-0151,88,LDAP,outbound,medium
srv-0054,srv-0183,53,DNS,outbound,low
srv-0055,srv-0152,88,LDAP,outbound,medium
srv-0055,srv-0182,53,DNS,outbound,low
srv-0056,srv-0152,88,LDAP,outbound,medium
srv-0056,srv-0183,53,DNS,outbound,low
srv-0057,srv-0153,389,LDAP,outbound,medium
srv-0057,srv-0183,53,DNS,outbound,low
srv-0058,srv-0153,88,LDAP,outbound,medium
srv-0058,srv-0182,53,DNS,outbound,low
srv-0059,srv-0150,389,LDAP,outbound,medium
srv-0059,srv-0183,53,DNS,outbound,low
srv-0060,srv-0151,88,LDAP,outbound,medium
srv-0060,srv-0183,53,DNS,outbound,low
srv-0061,srv-0153,636,LDAP,outbound,medium
srv-0061,srv-0182,53,DNS,outbound,low
srv-0062,srv-0150,636,LDAP,outbound,medium
srv-0062,srv-0183,53,DNS,outbound,low
srv-0063,srv-0152,88,LDAP,outbound,medium
srv-0063,srv-0183,53,DNS,outbound,low
srv-0064,srv-0151,88,LDAP,outbound,medium
srv-0065,srv-0149,636,LDAP,outbound,medium
srv-0065,srv-0182,53,DNS,outbound,low
srv-0066,srv-0154,389,LDAP,outbound,medium
srv-0066,srv-0183,53,DNS,outbound,low
srv-0067,srv-0153,389,LDAP,outbound,medium
srv-0068,srv-0183,53,DNS,outbound,low
srv-0069,srv-0182,53,DNS,outbound,low
srv-0070,srv-0153,636,LDAP,outbound,medium
srv-0070,srv-0183,53,DNS,outbound,low
srv-0071,srv-0152,636,LDAP,outbound,medium
srv-0071,srv-0182,53,DNS,outbound,low
srv-0072,srv-0154,88,LDAP,outbound,medium
srv-0073,srv-0149,389,LDAP,outbound,medium
srv-0073,srv-0183,53,DNS,outbound,low
srv-0074,srv-0153,88,LDAP,outbound,medium
srv-0074,srv-0182,53,DNS,outbound,low
srv-0076,srv-0151,636,LDAP,outbound,medium
srv-0076,srv-0183,53,DNS,outbound,low
srv-0077,srv-0154,88,LDAP,outbound,medium
srv-0077,srv-0182,53,DNS,outbound,low
srv-0080,srv-0150,389,LDAP,outbound,medium
srv-0081,srv-0153,636,LDAP,outbound,medium
srv-0081,srv-0182,53,DNS,outbound,low
srv-0082,srv-0154,636,LDAP,outbound,medium
srv-0084,srv-0152,636,LDAP,outbound,medium
srv-0084,srv-0182,53,DNS,outbound,low
srv-0085,srv-0153,389,LDAP,outbound,medium
srv-0085,srv-0182,53,DNS,outbound,low
srv-0086,srv-0154,636,LDAP,outbound,medium
srv-0087,srv-0153,636,LDAP,outbound,medium
srv-0088,srv-0153,389,LDAP,outbound,medium
srv-0088,srv-0183,53,DNS,outbound,low
srv-0089,srv-0151,88,LDAP,outbound,medium
srv-0090,srv-0150,88,LDAP,outbound,medium
srv-0091,srv-0150,636,LDAP,outbound,medium
srv-0091,srv-0183,53,DNS,outbound,low
srv-0092,srv-0151,636,LDAP,outbound,medium
srv-0092,srv-0183,53,DNS,outbound,low
srv-0093,srv-0149,636,LDAP,outbound,medium
srv-0093,srv-0182,53,DNS,outbound,low
srv-0094,srv-0150,88,LDAP,outbound,medium
srv-0094,srv-0183,53,DNS,outbound,low
srv-0095,srv-0152,389,LDAP,outbound,medium
srv-0097,srv-0150,636,LDAP,outbound,medium
srv-0097,srv-0183,53,DNS,outbound,low
srv-0098,srv-0154,389,LDAP,outbound,medium
srv-0098,srv-0183,53,DNS,outbound,low
srv-0099,srv-0150,636,LDAP,outbound,medium
srv-0099,srv-0182,53,DNS,outbound,low
srv-0100,srv-0150,389,LDAP,outbound,medium
srv-0100,srv-0182,53,DNS,outbound,low
srv-0101,srv-0149,389,LDAP,outbound,medium
srv-0101,srv-0183,53,DNS,outbound,low
srv-0102,srv-0152,636,LDAP,outbound,medium
srv-0102,srv-0182,53,DNS,outbound,low
srv-0103,srv-0149,636,LDAP,outbound,medium
srv-0103,srv-0182,53,DNS,outbound,low
srv-0104,srv-0149,88,LDAP,outbound,medium
srv-0104,srv-0182,53,DNS,outbound,low
srv-0105,srv-0151,636,LDAP,outbound,medium
srv-0105,srv-0183,53,DNS,outbound,low
srv-0106,srv-0151,389,LDAP,outbound,medium
srv-0106,srv-0182,53,DNS,outbound,low
srv-0107,srv-0151,636,LDAP,outbound,medium
srv-0107,srv-0183,53,DNS,outbound,low
srv-0108,srv-0154,389,LDAP,outbound,medium
srv-0108,srv-0183,53,DNS,outbound,low
srv-0109,srv-0150,389,LDAP,outbound,medium
srv-0110,srv-0182,53,DNS,outbound,low
srv-0111,srv-0150,389,LDAP,outbound,medium
srv-0111,srv-0182,53,DNS,outbound,low
srv-0112,srv-0154,88,LDAP,outbound,medium
srv-0112,srv-0183,53,DNS,outbound,low
srv-0113,srv-0151,88,LDAP,outbound,medium
srv-0113,srv-0182,53,DNS,outbound,low
srv-0114,srv-0154,389,LDAP,outbound,medium
srv-0114,srv-0182,53,DNS,outbound,low
srv-0115,srv-0152,389,LDAP,outbound,medium
srv-0115,srv-0183,53,DNS,outbound,low
srv-0116,srv-0150,88,LDAP,outbound,medium
srv-0116,srv-0182,53,DNS,outbound,low
srv-0117,srv-0154,389,LDAP,outbound,medium
srv-0117,srv-0183,53,DNS,outbound,low
srv-0118,srv-0154,389,LDAP,outbound,medium
srv-0118,srv-0182,53,DNS,outbound,low
srv-0119,srv-0153,389,LDAP,outbound,medium
srv-0119,srv-0182,53,DNS,outbound,low
srv-0120,srv-0153,389,LDAP,outbound,medium
srv-0120,srv-0182,53,DNS,outbound,low
srv-0121,srv-0152,636,LDAP,outbound,medium
srv-0121,srv-0183,53,DNS,outbound,low
srv-0122,srv-0183,53,DNS,outbound,low
srv-0123,srv-0149,389,LDAP,outbound,medium
srv-0123,srv-0182,53,DNS,outbound,low
srv-0124,srv-0154,636,LDAP,outbound,medium
srv-0124,srv-0182,53,DNS,outbound,low
srv-0125,srv-0149,88,LDAP,outbound,medium
srv-0125,srv-0183,53,DNS,outbound,low
srv-0126,srv-0152,636,LDAP,outbound,medium
srv-0126,srv-0182,53,DNS,outbound,low
srv-0127,srv-0150,389,LDAP,outbound,medium
srv-0128,srv-0154,636,LDAP,outbound,medium
srv-0128,srv-0182,53,DNS,outbound,low
srv-0129,srv-0149,389,LDAP,outbound,medium
srv-0130,srv-0150,636,LDAP,outbound,medium
srv-0130,srv-0183,53,DNS,outbound,low
srv-0131,srv-0182,53,DNS,outbound,low
srv-0132,srv-0151,389,LDAP,outbound,medium
srv-0132,srv-0183,53,DNS,outbound,low
srv-0135,srv-0183,53,DNS,outbound,low
srv-0136,srv-0152,636,LDAP,outbound,medium
srv-0136,srv-0182,53,DNS,outbound,low
srv-0137,srv-0154,88,LDAP,outbound,medium
srv-0137,srv-0182,53,DNS,outbound,low
srv-0138,srv-0153,636,LDAP,outbound,medium
srv-0139,srv-0150,88,LDAP,outbound,medium
srv-0139,srv-0183,53,DNS,outbound,low
srv-0140,srv-0154,88,LDAP,outbound,medium
srv-0141,srv-0152,389,LDAP,outbound,medium
srv-0142,srv-0149,636,LDAP,outbound,medium
srv-0142,srv-0182,53,DNS,outbound,low
srv-0143,srv-0154,88,LDAP,outbound,medium
srv-0143,srv-0182,53,DNS,outbound,low
srv-0144,srv-0183,53,DNS,outbound,low
srv-0145,srv-0154,88,LDAP,outbound,medium
srv-0145,srv-0183,53,DNS,outbound,low
srv-0146,srv-0150,636,LDAP,outbound,medium
srv-0146,srv-0183,53,DNS,outbound,low
srv-0147,srv-0153,88,LDAP,outbound,medium
srv-0147,srv-0182,53,DNS,outbound,low
srv-0148,srv-0152,636,LDAP,outbound,medium
srv-0150,srv-0152,636,LDAP,outbound,medium
srv-0150,srv-0183,53,DNS,outbound,low
srv-0151,srv-0150,88,LDAP,outbound,medium
srv-0151,srv-0183,53,DNS,outbound,low
srv-0152,srv-0149,636,LDAP,outbound,medium
srv-0152,srv-0183,53,DNS,outbound,low
srv-0153,srv-0152,636,LDAP,outbound,medium
srv-0153,srv-0183,53,DNS,outbound,low
srv-0154,srv-0149,389,LDAP,outbound,medium
srv-0154,srv-0182,53,DNS,outbound,low
srv-0155,srv-0149,389,LDAP,outbound,medium
srv-0155,srv-0183,53,DNS,outbound,low
srv-0156,srv-0153,389,LDAP,outbound,medium
srv-0156,srv-0183,53,DNS,outbound,low
srv-0157,srv-0182,53,DNS,outbound,low
srv-0159,srv-0152,636,LDAP,outbound,medium
srv-0159,srv-0183,53,DNS,outbound,low
srv-0160,srv-0151,88,LDAP,outbound,medium
srv-0160,srv-0182,53,DNS,outbound,low
srv-0161,srv-0150,389,LDAP,outbound,medium
srv-0161,srv-0183,53,DNS,outbound,low
srv-0162,srv-0151,88,LDAP,outbound,medium
srv-0162,srv-0182,53,DNS,outbound,low
srv-0163,srv-0154,88,LDAP,outbound,medium
srv-0163,srv-0182,53,DNS,outbound,low
srv-0164,srv-0150,389,LDAP,outbound,medium
srv-0164,srv-0183,53,DNS,outbound,low
srv-0165,srv-0150,88,LDAP,outbound,medium
srv-0165,srv-0183,53,DNS,outbound,low
srv-0167,srv-0154,88,LDAP,outbound,medium
srv-0167,srv-0183,53,DNS,outbound,low
srv-0168,srv-0153,88,LDAP,outbound,medium
srv-0168,srv-0183,53,DNS,outbound,low
srv-0169,srv-0154,389,LDAP,outbound,medium
srv-0169,srv-0183,53,DNS,outbound,low
srv-0170,srv-0152,88,LDAP,outbound,medium
srv-0170,srv-0182,53,DNS,outbound,low
srv-0171,srv-0150,88,LDAP,outbound,medium
srv-0172,srv-0154,88,LDAP,outbound,medium
srv-0172,srv-0183,53,DNS,outbound,low
srv-0173,srv-0152,636,LDAP,outbound,medium
srv-0174,srv-0183,53,DNS,outbound,low
srv-0176,srv-0151,636,LDAP,outbound,medium
srv-0176,srv-0182,53,DNS,outbound,low
srv-0177,srv-0153,88,LDAP,outbound,medium
srv-0178,srv-0154,88,LDAP,outbound,medium
srv-0179,srv-0153,88,LDAP,outbound,medium
srv-0179,srv-0182,53,DNS,outbound,low
srv-0180,srv-0151,88,LDAP,outbound,medium
srv-0180,srv-0182,53,DNS,outbound,low
srv-0181,srv-0182,53,DNS,outbound,low
srv-0182,srv-0154,88,LDAP,outbound,medium
srv-0182,srv-0182,53,DNS,outbound,low
srv-0183,srv-0153,636,LDAP,outbound,medium
srv-0183,srv-0183,53,DNS,outbound,low
srv-0184,srv-0153,636,LDAP,outbound,medium
srv-0185,srv-0149,88,LDAP,outbound,medium
srv-0185,srv-0183,53,DNS,outbound,low
srv-0187,srv-0154,389,LDAP,outbound,medium
srv-0187,srv-0182,53,DNS,outbound,low
srv-0188,srv-0182,53,DNS,outbound,low
srv-0189,srv-0154,636,LDAP,outbound,medium
srv-0189,srv-0182,53,DNS,outbound,low
srv-0190,srv-0152,389,LDAP,outbound,medium
srv-0190,srv-0182,53,DNS,outbound,low
srv-0191,srv-0153,636,LDAP,outbound,medium
srv-0191,srv-0183,53,DNS,outbound,low
srv-0192,srv-0149,636,LDAP,outbound,medium
srv-0192,srv-0183,53,DNS,outbound,low
srv-0193,srv-0183,53,DNS,outbound,low
srv-0194,srv-0152,389,LDAP,outbound,medium
srv-0195,srv-0154,636,LDAP,outbound,medium
srv-0195,srv-0182,53,DNS,outbound,low
srv-0196,srv-0150,636,LDAP,outbound,medium
srv-0196,srv-0182,53,DNS,outbound,low
srv-0197,srv-0150,88,LDAP,outbound,medium
srv-0197,srv-0183,53,DNS,outbound,low
srv-0198,srv-0151,88,LDAP,outbound,medium
srv-0198,srv-0182,53,DNS,outbound,low
srv-0199,srv-0151,389,LDAP,outbound,medium
srv-0199,srv-0182,53,DNS,outbound,low
srv-0200,srv-0151,88,LDAP,outbound,medium
srv-0200,srv-0183,53,DNS,outbound,low
srv-0201,srv-0153,88,LDAP,outbound,medium
srv-0201,srv-0183,53,DNS,outbound,low
srv-0202,srv-0150,88,LDAP,outbound,medium
srv-0202,srv-0182,53,DNS,outbound,low
srv-0203,srv-0153,636,LDAP,outbound,medium
srv-0203,srv-0182,53,DNS,outbound,low
srv-0204,srv-0154,636,LDAP,outbound,medium
srv-0204,srv-0183,53,DNS,outbound,low
srv-0205,srv-0153,88,LDAP,outbound,medium
srv-0205,srv-0182,53,DNS,outbound,low
srv-0206,srv-0151,636,LDAP,outbound,medium
srv-0206,srv-0182,53,DNS,outbound,low
srv-0207,srv-0183,53,DNS,outbound,low
srv-0208,srv-0149,636,LDAP,outbound,medium
srv-0208,srv-0183,53,DNS,outbound,low
srv-0210,srv-0153,636,LDAP,outbound,medium
srv-0210,srv-0183,53,DNS,outbound,low
srv-0211,srv-0151,88,LDAP,outbound,medium
srv-0211,srv-0182,53,DNS,outbound,low
srv-0212,srv-0182,53,DNS,outbound,low
srv-0213,srv-0150,88,LDAP,outbound,medium
srv-0213,srv-0182,53,DNS,outbound,low
srv-0214,srv-0152,389,LDAP,outbound,medium
srv-0214,srv-0183,53,DNS,outbound,low
srv-0215,srv-0149,88,LDAP,outbound,medium
srv-0215,srv-0182,53,DNS,outbound,low
srv-0216,srv-0151,389,LDAP,outbound,medium
srv-0216,srv-0182,53,DNS,outbound,low
srv-0217,srv-0151,88,LDAP,outbound,medium
srv-0217,srv-0182,53,DNS,outbound,low
srv-0218,srv-0183,53,DNS,outbound,low
srv-0219,srv-0152,636,LDAP,outbound,medium
srv-0219,srv-0182,53,DNS,outbound,low
srv-0220,srv-0154,88,LDAP,outbound,medium
srv-0220,srv-0182,53,DNS,outbound,low
srv-0221,srv-0149,636,LDAP,outbound,medium
srv-0222,srv-0154,636,LDAP,outbound,medium
srv-0222,srv-0183,53,DNS,outbound,low
srv-0223,srv-0152,636,LDAP,outbound,medium
srv-0223,srv-0182,53,DNS,outbound,low
srv-0224,srv-0153,389,LDAP,outbound,medium
srv-0224,srv-0183,53,DNS,outbound,low
srv-0225,srv-0153,636,LDAP,outbound,medium
srv-0226,srv-0154,88,LDAP,outbound,medium
srv-0226,srv-0182,53,DNS,outbound,low
srv-0227,srv-0153,389,LDAP,outbound,medium
srv-0227,srv-0182,53,DNS,outbound,low
srv-0228,srv-0152,88,LDAP,outbound,medium
srv-0228,srv-0182,53,DNS,outbound,low
srv-0229,srv-0154,88,LDAP,outbound,medium
srv-0230,srv-0152,88,LDAP,outbound,medium
srv-0231,srv-0150,389,LDAP,outbound,medium
srv-0231,srv-0183,53,DNS,outbound,low
srv-0233,srv-0150,88,LDAP,outbound,medium
srv-0233,srv-0182,53,DNS,outbound,low
srv-0234,srv-0153,636,LDAP,outbound,medium
srv-0234,srv-0182,53,DNS,outbound,low
srv-0235,srv-0149,636,LDAP,outbound,medium
srv-0235,srv-0183,53,DNS,outbound,low
srv-0236,srv-0182,53,DNS,outbound,low
srv-0238,srv-0153,389,LDAP,outbound,medium
srv-0239,srv-0152,636,LDAP,outbound,medium
srv-0239,srv-0183,53,DNS,outbound,low
srv-0240,srv-0150,88,LDAP,outbound,medium
srv-0240,srv-0183,53,DNS,outbound,low
srv-0241,srv-0183,53,DNS,outbound,low
srv-0242,srv-0150,88,LDAP,outbound,medium
srv-0242,srv-0183,53,DNS,outbound,low
srv-0243,srv-0151,389,LDAP,outbound,medium
srv-0243,srv-0183,53,DNS,outbound,low
srv-0244,srv-0152,636,LDAP,outbound,medium
srv-0244,srv-0183,53,DNS,outbound,low
srv-0245,srv-0149,389,LDAP,outbound,medium
srv-0245,srv-0182,53,DNS,outbound,low
srv-0246,srv-0150,88,LDAP,outbound,medium
srv-0246,srv-0182,53,DNS,outbound,low
srv-0247,srv-0149,88,LDAP,outbound,medium
srv-0247,srv-0183,53,DNS,outbound,low
srv-0248,srv-0150,389,LDAP,outbound,medium
srv-0248,srv-0183,53,DNS,outbound,low
srv-0249,srv-0150,636,LDAP,outbound,medium
srv-0249,srv-0183,53,DNS,outbound,low
srv-0250,srv-0153,88,LDAP,outbound,medium
srv-0250,srv-0183,53,DNS,outbound,low
internet,srv-0001,443,HTTPS,inbound,high
internet,srv-0002,443,HTTPS,inbound,high
internet,srv-0003,443,HTTPS,inbound,high
internet,srv-0004,443,HTTPS,inbound,high
internet,srv-0011,443,HTTPS,inbound,high
internet,srv-0029,443,HTTPS,inbound,high
internet,srv-0030,443,HTTPS,inbound,high
internet,srv-0031,443,HTTPS,inbound,high
internet,srv-0063,443,HTTPS,inbound,high
internet,srv-0064,443,HTTPS,inbound,high
internet,srv-0072,443,HTTPS,inbound,high
internet,srv-0073,443,HTTPS,inbound,high
internet,srv-0074,443,HTTPS,inbound,high
internet,srv-0076,443,HTTPS,inbound,high
internet,srv-0079,443,HTTPS,inbound,high
internet,srv-0082,443,HTTPS,inbound,high
internet,srv-0098,443,HTTPS,inbound,high
internet,srv-0112,443,HTTPS,inbound,high
internet,srv-0113,443,HTTPS,inbound,high
internet,srv-0122,443,HTTPS,inbound,high
internet,srv-0130,443,HTTPS,inbound,high
internet,srv-0131,443,HTTPS,inbound,high
internet,srv-0146,443,HTTPS,inbound,high
