server_id,sample_date,cpu_avg_pct,cpu_peak_pct,cpu_p95_pct,mem_avg_pct,mem_peak_pct,mem_p95_pct,disk_iops_avg,disk_iops_peak,disk_read_iops_avg,disk_write_iops_avg,disk_throughput_mbps_avg,net_in_gb,net_out_gb,net_in_peak_mbps,net_out_peak_mbps
srv-0001,2026-08-29,23.6,37.7,32.7,51.4,54.3,53.3,32.7,72.0,18.0,14.7,1.64,3.354,49.157,2.6,38.3
srv-0001,2026-08-30,23.0,34.3,30.3,51.6,60.8,57.6,33.4,61.5,18.4,15.0,1.67,3.569,55.069,3.2,43.3
srv-0001,2026-08-31,46.2,69.5,61.3,54.9,62.9,60.1,42.6,112.6,23.4,19.2,2.13,6.146,85.282,2.8,38.2
srv-0001,2026-09-01,40.0,59.7,52.8,54.8,61.4,59.1,47.4,131.7,26.0,21.3,2.37,4.785,74.779,1.8,42.1
srv-0001,2026-09-02,51.3,86.1,73.9,55.4,66.1,62.4,58.7,155.1,32.3,26.4,2.93,8.071,78.972,3.0,53.8
srv-0001,2026-09-03,36.3,60.3,51.9,53.9,61.3,58.7,57.2,121.8,31.5,25.8,2.86,5.15,84.725,3.3,66.1
srv-0001,2026-09-04,41.2,56.9,51.4,55.1,62.7,60.0,67.5,122.3,37.1,30.4,3.37,4.682,67.1,4.1,26.6
srv-0001,2026-09-05,31.4,51.9,44.7,52.1,55.6,54.4,43.3,104.3,23.8,19.5,2.17,4.061,56.407,1.6,47.2
srv-0001,2026-09-06,21.5,29.2,26.5,51.0,55.6,54.0,24.1,46.1,13.2,10.8,1.2,4.587,51.285,2.5,41.2
srv-0002,2026-08-08,10.0,13.6,12.4,73.3,86.9,82.2,90.1,167.1,49.6,40.6,4.51,4.073,45.134,2.1,28.5
srv-0002,2026-08-09,9.3,30.6,23.1,73.2,83.6,80.0,65.9,365.3,36.3,29.7,3.3,9.345,121.827,5.6,116.8
srv-0002,2026-08-10,12.7,20.7,17.9,74.5,83.7,80.5,74.4,148.4,40.9,33.5,3.72,4.952,72.985,3.7,29.7
srv-0002,2026-08-11,14.8,20.7,18.6,75.5,86.5,82.6,102.1,278.0,56.2,46.0,5.11,4.115,87.872,1.9,53.4
srv-0002,2026-08-12,12.8,19.4,17.1,74.8,86.4,82.3,100.2,214.3,55.1,45.1,5.01,4.869,65.056,2.7,58.8
srv-0002,2026-08-13,18.7,23.6,21.9,77.8,84.9,82.4,104.7,286.9,57.6,47.1,5.23,10.105,93.404,6.7,44.9
srv-0002,2026-08-14,13.7,45.5,34.3,75.0,85.8,82.0,103.2,439.4,56.8,46.4,5.16,9.034,109.599,7.8,100.1
srv-0002,2026-08-15,8.6,14.1,12.2,72.2,86.3,81.4,57.5,137.5,31.6,25.9,2.87,5.704,48.265,2.5,26.6
srv-0002,2026-08-16,8.6,14.3,12.3,71.3,84.8,80.1,67.0,156.1,36.9,30.2,3.35,3.766,59.194,1.9,45.3
srv-0002,2026-08-17,13.3,17.7,16.1,76.6,83.4,81.0,93.9,214.8,51.7,42.3,4.7,6.883,94.453,6.3,37.6
srv-0002,2026-08-18,15.9,23.5,20.9,77.6,84.5,82.1,137.6,328.0,75.7,61.9,6.88,9.039,66.977,5.0,53.6
srv-0002,2026-08-19,15.4,22.1,19.8,77.1,92.5,87.1,94.3,250.6,51.9,42.4,4.72,7.134,84.663,2.8,70.6
srv-0002,2026-08-20,15.0,23.4,20.4,76.7,88.4,84.3,92.9,211.5,51.1,41.8,4.65,6.515,63.018,5.7,55.7
srv-0002,2026-08-21,14.9,19.8,18.1,77.6,93.9,88.2,140.1,382.1,77.1,63.1,7.01,4.917,124.717,2.5,80.0
srv-0002,2026-08-22,10.2,15.7,13.8,73.3,84.4,80.5,74.0,190.0,40.7,33.3,3.7,5.436,67.281,2.7,49.9
srv-0002,2026-08-23,9.5,12.9,11.7,71.7,75.7,74.3,53.4,98.5,29.4,24.0,2.67,2.913,53.296,2.1,26.6
srv-0002,2026-08-24,17.3,24.1,21.7,77.3,90.9,86.1,90.3,203.6,49.7,40.6,4.51,4.995,90.765,2.9,75.8
srv-0002,2026-08-25,15.4,24.6,21.4,77.0,85.6,82.6,95.8,231.0,52.7,43.1,4.79,7.101,99.834,4.5,70.9
srv-0002,2026-08-26,14.0,19.3,17.5,75.3,86.0,82.2,90.1,248.6,49.5,40.5,4.5,7.995,78.107,4.3,62.2
srv-0002,2026-08-27,14.2,19.6,17.7,77.3,92.1,86.9,90.0,251.4,49.5,40.5,4.5,7.549,104.181,3.7,104.0
srv-0002,2026-08-28,13.3,21.1,18.4,76.8,82.6,80.6,99.8,180.7,54.9,44.9,4.99,8.706,97.495,6.5,58.9
srv-0002,2026-08-29,7.4,22.6,17.3,71.2,85.3,80.4,65.3,315.3,35.9,29.4,3.27,9.364,123.549,8.0,87.1
srv-0002,2026-08-30,9.3,13.2,11.8,72.6,84.2,80.2,81.0,204.3,44.5,36.4,4.05,5.263,48.88,2.9,45.4
srv-0002,2026-08-31,15.0,20.4,18.5,75.2,83.9,80.9,96.9,203.9,53.3,43.6,4.84,8.13,89.625,7.1,78.0
srv-0002,2026-09-01,15.8,23.0,20.5,77.8,92.8,87.5,114.8,208.1,63.1,51.6,5.74,8.655,77.685,5.0,33.8
srv-0002,2026-09-02,12.6,21.3,18.3,75.8,81.6,79.6,75.7,172.0,41.6,34.0,3.78,8.222,92.358,4.7,35.1
srv-0002,2026-09-03,14.2,18.7,17.1,74.8,88.2,83.5,71.6,167.4,39.4,32.2,3.58,6.953,97.119,6.3,66.6
srv-0002,2026-09-04,14.5,23.7,20.5,77.8,84.1,81.9,94.2,242.7,51.8,42.4,4.71,9.365,77.132,8.1,56.3
srv-0002,2026-09-05,9.0,12.0,11.0,71.1,81.3,77.7,46.0,95.9,25.3,20.7,2.3,3.23,50.061,1.8,28.3
srv-0002,2026-09-06,7.7,11.0,9.9,71.3,76.2,74.5,48.1,105.7,26.5,21.7,2.41,2.948,32.349,2.5,16.7
srv-0003,2026-08-08,20.3,34.4,29.5,70.5,84.6,79.7,30.5,77.4,16.8,13.7,1.53,2.552,32.433,2.4,28.9
srv-0003,2026-08-09,15.5,21.6,19.5,70.3,76.5,74.3,34.3,81.1,18.9,15.4,1.72,3.618,36.128,1.7,23.5
srv-0003,2026-08-10,29.2,38.3,35.1,75.7,82.4,80.1,61.2,158.5,33.6,27.5,3.06,4.168,96.723,2.2,66.4
srv-0003,2026-08-11,26.1,33.5,30.9,74.2,81.7,79.1,50.9,106.1,28.0,22.9,2.54,4.886,89.234,3.9,78.3
srv-0003,2026-08-12,32.4,51.3,44.7,75.4,85.3,81.8,67.1,168.5,36.9,30.2,3.36,7.515,89.403,4.7,62.8
srv-0003,2026-08-13,23.2,31.4,28.5,72.8,80.7,77.9,52.0,143.4,28.6,23.4,2.6,2.781,78.559,2.0,40.2
srv-0003,2026-08-14,29.2,99,74.6,75.1,79.6,78.0,57.2,303.2,31.5,25.8,2.86,11.816,106.251,9.0,81.7
srv-0003,2026-08-15,21.8,36.6,31.4,71.3,86.0,80.9,41.5,97.3,22.8,18.7,2.08,2.814,62.025,2.1,59.3
srv-0003,2026-08-16,17.3,56.6,42.9,69.6,74.0,72.5,22.1,102.3,12.2,10.0,1.11,4.248,104.826,1.8,85.3
srv-0003,2026-08-17,30.6,42.9,38.6,74.3,88.0,83.2,37.9,90.8,20.9,17.1,1.9,6.259,71.499,3.4,52.6
srv-0003,2026-08-18,25.2,85.7,64.5,73.0,83.6,79.9,47.4,230.4,26.1,21.3,2.37,6.735,187.64,5.2,182.6
srv-0003,2026-08-19,28.5,39.9,35.9,74.2,81.1,78.7,44.3,98.7,24.4,19.9,2.21,5.258,67.614,2.9,36.0
srv-0003,2026-08-20,26.5,42.9,37.2,73.8,87.7,82.9,57.0,142.4,31.3,25.6,2.85,3.211,48.752,1.3,31.9
srv-0003,2026-08-21,30.0,40.3,36.7,74.1,87.2,82.6,58.4,132.1,32.1,26.3,2.92,6.365,90.972,4.3,54.3
srv-0003,2026-08-22,22.7,68.0,52.2,71.3,83.7,79.4,27.9,139.1,15.4,12.6,1.4,9.115,138.344,5.8,139.6
srv-0003,2026-08-23,17.3,62.9,47.0,70.4,78.0,75.3,38.2,216.7,21.0,17.2,1.91,5.14,116.328,3.6,117.8
srv-0003,2026-08-24,29.7,37.4,34.7,74.9,81.3,79.1,46.3,122.3,25.5,20.8,2.32,4.979,65.698,3.2,55.6
srv-0003,2026-08-25,25.0,32.9,30.1,74.2,81.6,79.0,42.8,112.5,23.5,19.2,2.14,5.105,73.066,2.4,52.7
srv-0003,2026-08-26,21.9,33.0,29.1,72.7,87.4,82.2,52.7,97.2,29.0,23.7,2.64,2.81,52.635,1.3,44.9
srv-0003,2026-08-27,35.3,49.2,44.3,75.6,87.5,83.4,56.0,144.0,30.8,25.2,2.8,7.693,83.027,6.2,79.4
srv-0003,2026-08-28,25.3,37.4,33.2,73.7,79.3,77.4,41.8,116.3,23.0,18.8,2.09,3.909,70.359,3.0,50.3
srv-0003,2026-08-29,15.1,21.3,19.1,69.7,74.6,72.9,35.6,97.4,19.6,16.0,1.78,2.329,28.115,2.0,27.6
srv-0003,2026-08-30,17.6,23.5,21.4,70.0,75.9,73.8,37.7,88.6,20.7,17.0,1.88,3.673,32.757,2.2,32.6
srv-0003,2026-08-31,29.0,47.7,41.1,73.8,83.6,80.2,47.7,109.1,26.3,21.5,2.39,3.832,58.369,1.7,30.4
srv-0003,2026-09-01,28.0,40.3,36.0,73.0,83.6,79.9,37.5,87.8,20.6,16.9,1.88,5.065,58.278,4.6,54.9
srv-0003,2026-09-02,25.8,43.4,37.2,72.8,85.5,81.0,39.4,108.1,21.7,17.7,1.97,4.714,57.834,2.5,54.1
srv-0003,2026-09-03,27.0,39.1,34.9,74.3,83.1,80.0,42.4,78.8,23.3,19.1,2.12,6.852,94.378,5.7,49.4
srv-0003,2026-09-04,26.0,35.5,32.2,74.6,83.9,80.7,52.2,132.4,28.7,23.5,2.61,4.094,94.163,3.5,73.4
srv-0003,2026-09-05,19.1,27.0,24.2,70.0,80.1,76.6,37.5,98.8,20.6,16.9,1.88,3.176,40.109,2.3,32.7
srv-0003,2026-09-06,17.3,25.6,22.7,69.5,76.9,74.3,34.9,94.6,19.2,15.7,1.75,3.054,41.924,1.7,42.3
srv-0005,2026-08-08,25.2,38.8,34.0,68.6,78.1,74.8,94.8,222.1,52.2,42.7,4.74,11.588,17.035,7.2,16.0
srv-0005,2026-08-09,18.1,25.9,23.2,67.0,80.9,76.0,53.6,127.6,29.5,24.1,2.68,7.893,14.873,5.5,7.7
srv-0005,2026-08-10,34.0,52.1,45.8,72.0,76.3,74.8,128.3,288.8,70.6,57.7,6.42,16.613,39.168,7.8,34.8
srv-0005,2026-08-11,29.6,49.6,42.6,70.6,82.0,78.0,111.4,291.2,61.3,50.1,5.57,9.145,22.138,7.1,18.1
srv-0005,2026-08-12,24.9,39.1,34.1,69.9,73.9,72.5,76.1,200.4,41.8,34.2,3.8,13.987,17.155,10.5,17.0
srv-0005,2026-08-13,28.2,37.7,34.4,70.1,76.1,74.0,121.1,324.9,66.6,54.5,6.05,13.097,23.166,5.7,17.7
srv-0005,2026-08-14,29.6,49.1,42.3,70.8,77.5,75.2,130.5,260.1,71.8,58.7,6.53,17.73,23.536,12.3,11.6
srv-0005,2026-08-15,17.3,22.5,20.7,67.6,79.4,75.3,81.3,185.4,44.7,36.6,4.06,6.353,16.562,5.9,8.9
srv-0005,2026-08-16,16.8,22.1,20.3,66.9,71.6,70.0,49.7,105.8,27.3,22.4,2.49,10.266,13.457,5.9,11.6
srv-0005,2026-08-17,37.8,55.6,49.4,72.8,80.6,77.9,114.0,291.5,62.7,51.3,5.7,21.687,46.487,9.5,35.6
srv-0005,2026-08-18,34.2,45.7,41.7,72.4,79.5,77.0,102.9,217.2,56.6,46.3,5.15,18.168,36.93,10.6,28.6
srv-0005,2026-08-19,31.7,40.4,37.4,72.0,80.5,77.5,96.2,234.4,52.9,43.3,4.81,10.354,43.784,4.3,36.1
srv-0005,2026-08-20,33.0,48.2,42.8,72.1,81.6,78.3,125.2,282.4,68.8,56.3,6.26,16.214,31.051,8.7,25.7
srv-0005,2026-08-21,31.1,40.5,37.2,71.2,77.4,75.3,126.4,338.1,69.5,56.9,6.32,10.89,37.291,5.3,23.3
srv-0005,2026-08-22,22.2,36.7,31.6,67.7,82.2,77.1,62.6,119.8,34.4,28.2,3.13,11.398,19.553,5.1,13.0
srv-0005,2026-08-23,24.0,32.7,29.7,68.4,82.1,77.3,73.0,147.9,40.2,32.9,3.65,9.131,19.335,4.7,9.7
srv-0005,2026-08-24,32.4,98.5,75.4,72.6,76.7,75.2,122.0,563.0,67.1,54.9,6.1,35.662,85.876,20.7,46.2
srv-0005,2026-08-25,25.5,41.7,36.1,70.2,81.6,77.6,77.6,171.9,42.7,34.9,3.88,9.222,28.986,7.0,17.3
srv-0005,2026-08-26,26.9,34.2,31.6,70.6,78.9,76.0,110.1,243.6,60.5,49.5,5.5,15.335,24.613,13.7,11.9
srv-0005,2026-08-27,25.5,35.0,31.7,69.7,76.7,74.3,111.9,300.8,61.6,50.4,5.6,14.522,30.048,13.1,11.3
srv-0005,2026-08-28,30.2,39.3,36.1,72.3,78.1,76.1,112.5,298.2,61.9,50.6,5.62,16.925,38.184,14.1,22.0
srv-0005,2026-08-29,17.0,27.4,23.8,67.3,78.7,74.7,64.8,165.1,35.7,29.2,3.24,7.436,25.416,5.3,19.4
srv-0005,2026-08-30,21.0,33.5,29.1,67.2,71.0,69.7,71.1,174.2,39.1,32.0,3.56,7.061,12.69,5.9,11.9
srv-0005,2026-08-31,34.2,99,76.3,71.8,85.7,80.8,143.2,715.8,78.8,64.4,7.16,22.993,41.536,9.3,34.5
srv-0005,2026-09-01,31.1,47.0,41.5,71.0,83.1,78.9,95.1,264.3,52.3,42.8,4.75,14.735,33.171,8.0,21.8
srv-0005,2026-09-02,28.2,45.0,39.1,70.5,77.8,75.2,98.0,216.7,53.9,44.1,4.9,9.08,35.935,3.4,30.5
srv-0005,2026-09-03,24.8,31.5,29.2,70.1,76.1,74.0,97.2,213.8,53.4,43.7,4.86,13.12,17.98,6.6,14.4
srv-0005,2026-09-04,29.2,45.1,39.5,70.5,83.4,78.9,91.6,175.7,50.4,41.2,4.58,8.856,30.139,3.7,18.3
srv-0005,2026-09-05,20.6,33.3,28.9,67.7,81.7,76.8,75.8,139.4,41.7,34.1,3.79,6.266,20.227,3.2,8.2
srv-0005,2026-09-06,19.1,30.2,26.3,68.2,80.5,76.2,96.5,265.1,53.1,43.4,4.83,12.618,29.508,10.8,23.0
srv-0006,2026-08-08,19.1,30.8,26.7,77.7,84.4,82.1,130.3,237.1,71.6,58.6,6.51,9.048,22.437,4.4,9.9
srv-0006,2026-08-09,18.6,31.5,27.0,77.2,87.0,83.6,146.2,394.2,80.4,65.8,7.31,6.273,17.63,2.9,10.7
srv-0006,2026-08-10,24.8,35.4,31.7,80.0,96.9,90.9,165.2,394.2,90.9,74.4,8.26,11.451,31.144,8.1,22.1
srv-0006,2026-08-11,23.6,36.5,32.0,82.2,87.2,85.4,194.3,395.9,106.9,87.5,9.72,12.556,49.415,7.9,38.6
srv-0006,2026-08-12,30.6,41.6,37.8,82.7,87.5,85.8,195.6,470.3,107.6,88.0,9.78,11.179,31.08,8.6,23.1
srv-0006,2026-08-13,29.1,40.0,36.2,82.1,90.9,87.8,185.0,437.0,101.8,83.3,9.25,10.243,41.95,7.1,32.7
srv-0006,2026-08-14,25.0,38.3,33.6,81.5,99,92.9,162.5,307.1,89.4,73.1,8.12,15.882,33.223,13.9,25.5
srv-0006,2026-08-15,15.6,20.8,19.0,76.7,82.6,80.5,129.5,262.1,71.2,58.3,6.48,9.077,24.224,5.3,24.2
srv-0006,2026-08-16,17.8,27.1,23.8,77.0,89.4,85.1,132.9,273.3,73.1,59.8,6.65,8.206,28.565,4.4,12.8
srv-0006,2026-08-17,26.9,42.0,36.7,82.1,93.6,89.6,160.8,380.6,88.4,72.4,8.04,10.027,25.407,4.5,13.4
srv-0006,2026-08-18,26.3,42.3,36.7,80.9,87.2,85.0,201.7,519.2,111.0,90.8,10.09,13.0,26.751,11.4,19.8
srv-0006,2026-08-19,22.3,35.8,31.1,79.9,97.0,91.0,190.6,343.3,104.8,85.8,9.53,7.919,30.704,6.3,18.4
srv-0006,2026-08-20,24.6,34.0,30.7,82.2,97.3,92.0,171.4,342.5,94.3,77.1,8.57,13.559,43.944,8.3,27.7
srv-0006,2026-08-21,25.0,40.4,35.0,80.7,96.3,90.8,153.4,390.2,84.4,69.0,7.67,10.066,29.196,5.3,11.5
srv-0006,2026-08-22,13.7,20.4,18.1,76.5,87.4,83.6,128.8,347.9,70.9,58.0,6.44,7.271,16.539,4.9,15.4
srv-0006,2026-08-23,19.5,28.2,25.2,78.4,85.5,83.0,171.3,449.8,94.2,77.1,8.56,7.708,35.186,5.0,31.4
srv-0006,2026-08-24,22.7,34.8,30.6,80.6,92.1,88.1,189.5,454.7,104.2,85.3,9.47,12.95,40.008,11.0,36.8
srv-0006,2026-08-25,23.9,32.5,29.5,80.5,86.3,84.3,205.6,547.1,113.1,92.5,10.28,11.524,38.558,9.8,33.0
srv-0006,2026-08-26,27.0,35.9,32.8,81.5,90.5,87.4,147.1,332.6,80.9,66.2,7.35,11.852,41.214,9.3,17.5
srv-0006,2026-08-27,21.5,30.3,27.2,80.6,89.1,86.1,150.4,407.2,82.7,67.7,7.52,13.903,23.039,5.4,21.6
srv-0006,2026-08-28,22.7,38.0,32.6,80.3,94.1,89.3,136.1,307.9,74.9,61.3,6.81,9.165,22.193,4.7,14.7
srv-0006,2026-08-29,19.8,27.6,24.9,78.3,82.5,81.1,152.8,335.9,84.1,68.8,7.64,5.997,26.659,4.1,24.1
srv-0006,2026-08-30,19.1,31.8,27.3,77.7,85.6,82.8,105.5,246.1,58.0,47.5,5.27,6.181,30.164,2.3,14.5
srv-0006,2026-08-31,21.9,29.3,26.7,80.1,85.4,83.6,175.6,370.1,96.6,79.0,8.78,10.256,21.768,9.4,21.7
srv-0006,2026-09-01,25.3,32.3,29.8,80.2,84.4,82.9,171.8,452.7,94.5,77.3,8.59,10.949,41.146,9.7,40.3
srv-0006,2026-09-02,24.2,33.1,30.0,81.5,96.4,91.2,211.4,425.9,116.3,95.1,10.57,9.284,23.589,7.5,12.8
srv-0006,2026-09-03,27.9,46.1,39.7,82.2,86.5,85.0,232.0,424.6,127.6,104.4,11.6,15.831,47.709,13.0,32.5
srv-0006,2026-09-04,21.6,27.9,25.7,81.1,94.8,90.0,190.0,512.1,104.5,85.5,9.5,12.197,28.657,10.4,16.3
srv-0006,2026-09-05,15.7,20.6,18.9,77.8,87.4,84.1,155.6,409.2,85.6,70.0,7.78,6.805,23.228,3.3,22.1
srv-0006,2026-09-06,17.1,23.1,21.0,76.5,91.1,86.0,119.4,282.7,65.7,53.7,5.97,9.356,24.532,5.4,11.8
srv-0007,2026-08-08,18.4,31.0,26.6,56.0,65.5,62.2,116.0,252.3,63.8,52.2,5.8,7.599,15.473,5.0,13.2
srv-0007,2026-08-09,23.8,39.4,33.9,56.7,66.5,63.1,126.9,333.9,69.8,57.1,6.35,6.735,22.208,5.8,19.0
srv-0007,2026-08-10,36.7,59.6,51.6,59.6,66.1,63.8,185.1,416.0,101.8,83.3,9.25,8.427,25.753,4.7,19.4
srv-0007,2026-08-11,26.7,45.3,38.8,58.7,65.5,63.1,172.7,393.7,95.0,77.7,8.64,11.208,28.761,7.3,29.1
srv-0007,2026-08-12,41.2,52.4,48.5,60.4,65.3,63.6,206.9,570.9,113.8,93.1,10.34,12.451,35.524,11.4,22.5
srv-0007,2026-08-13,41.3,65.7,57.2,60.6,69.3,66.3,305.8,633.9,168.2,137.6,15.29,9.441,16.531,8.2,14.5
srv-0007,2026-08-14,33.5,44.3,40.5,58.6,66.4,63.6,227.3,457.1,125.0,102.3,11.36,8.063,27.724,4.1,25.7
srv-0007,2026-08-15,19.8,33.3,28.6,55.6,64.1,61.1,138.5,272.8,76.2,62.3,6.92,7.658,9.748,6.1,7.2
srv-0007,2026-08-16,18.9,30.7,26.6,55.8,67.4,63.3,152.9,345.5,84.1,68.8,7.65,6.734,16.288,4.3,9.7
srv-0007,2026-08-17,34.1,48.6,43.5,58.8,67.5,64.5,249.3,641.9,137.1,112.2,12.46,6.733,23.584,5.5,21.9
srv-0007,2026-08-18,32.1,49.8,43.6,59.4,68.0,64.9,203.1,513.7,111.7,91.4,10.16,8.605,30.177,4.7,21.7
srv-0007,2026-08-19,32.9,46.0,41.4,60.5,68.1,65.4,286.8,729.8,157.8,129.1,14.34,7.855,27.967,5.6,17.3
srv-0007,2026-08-20,30.5,40.4,36.9,59.7,63.2,61.9,263.7,557.1,145.0,118.7,13.19,9.826,17.388,4.5,6.6
srv-0007,2026-08-21,32.8,54.9,47.2,59.7,63.0,61.8,278.5,567.6,153.2,125.3,13.92,8.135,19.346,4.2,14.2
srv-0007,2026-08-22,24.1,33.5,30.2,56.8,65.6,62.5,196.2,453.2,107.9,88.3,9.81,8.05,20.094,6.1,16.0
srv-0007,2026-08-23,21.5,34.5,29.9,57.0,60.2,59.1,159.9,411.9,87.9,71.9,7.99,8.791,13.45,7.8,7.7
srv-0007,2026-08-24,34.7,53.9,47.2,59.1,71.7,67.3,232.8,591.4,128.1,104.8,11.64,8.077,24.296,5.4,10.1
srv-0007,2026-08-25,31.4,51.6,44.5,59.4,72.1,67.6,295.8,663.1,162.7,133.1,14.79,11.134,15.893,7.5,16.0
srv-0007,2026-08-26,35.5,46.2,42.5,59.8,67.8,65.0,241.9,594.6,133.1,108.9,12.1,7.153,18.073,4.8,16.5
srv-0007,2026-08-27,26.6,40.6,35.7,58.1,63.4,61.5,246.0,531.1,135.3,110.7,12.3,11.98,18.575,8.8,18.5
srv-0007,2026-08-28,35.2,50.4,45.1,60.5,69.1,66.1,307.8,729.0,169.3,138.5,15.39,11.569,21.641,8.0,15.1
srv-0007,2026-08-29,20.1,28.0,25.2,55.8,58.6,57.6,159.7,371.4,87.9,71.9,7.99,5.65,16.563,3.1,11.8
srv-0007,2026-08-30,24.4,38.8,33.7,56.9,62.0,60.2,198.9,365.2,109.4,89.5,9.95,5.298,14.344,2.1,10.8
srv-0007,2026-08-31,36.4,48.1,44.0,60.4,65.2,63.5,244.5,557.0,134.5,110.0,12.22,10.834,18.245,5.4,9.0
srv-0007,2026-09-01,35.7,52.1,46.3,59.8,65.6,63.6,288.6,786.2,158.7,129.9,14.43,14.181,22.873,7.7,14.3
srv-0007,2026-09-02,27.9,38.4,34.7,59.1,67.0,64.3,200.1,541.0,110.0,90.0,10.0,13.047,14.477,5.6,9.5
srv-0007,2026-09-03,27.0,45.4,38.9,58.2,67.8,64.4,242.7,645.6,133.5,109.2,12.14,6.752,26.658,3.7,24.8
srv-0007,2026-09-04,28.6,45.6,39.6,58.4,64.6,62.4,183.4,480.5,100.9,82.5,9.17,11.785,24.063,7.3,17.0
srv-0007,2026-09-05,17.7,45.5,35.8,55.9,67.6,63.5,117.9,563.9,64.9,53.1,5.9,16.024,23.804,8.2,12.2
srv-0007,2026-09-06,22.5,32.9,29.3,57.1,69.6,65.2,155.0,369.7,85.3,69.8,7.75,5.609,19.763,2.2,13.1
srv-0009,2026-08-08,16.4,26.5,23.0,40.7,45.6,43.9,647.3,1267.3,453.1,194.2,19.42,2.991,12.554,2.5,11.2
srv-0009,2026-08-09,16.2,24.4,21.5,41.2,47.8,45.5,766.2,1822.1,536.4,229.9,22.99,6.087,8.802,5.0,8.4
srv-0009,2026-08-10,30.3,44.2,39.3,44.0,47.7,46.4,1368.2,2775.1,957.7,410.4,41.04,5.194,17.694,3.6,9.7
srv-0009,2026-08-11,28.0,41.4,36.7,42.7,51.6,48.5,1112.2,2887.7,778.6,333.7,33.37,8.395,12.08,4.4,4.6
srv-0009,2026-08-12,31.0,49.4,43.0,43.3,46.6,45.5,1013.4,1938.6,709.4,304.0,30.4,6.667,13.053,2.5,9.2
srv-0009,2026-08-13,27.1,41.5,36.5,42.7,49.8,47.3,1119.4,3094.7,783.6,335.8,33.58,4.213,19.887,2.9,16.6
srv-0009,2026-08-14,27.0,38.4,34.4,42.8,46.3,45.1,1062.3,2164.2,743.6,318.7,31.87,6.947,19.478,5.6,7.3
